商品ID,商品名称,商品类别,价格,库存,销量,评分,评论数,上架周期,上架日期
PROD005187,机械键盘,数码配件,90.18,36,29,4.4,28,7,2024/6/11
PROD005188,充电器,手机通讯,172.32,47,31,4.2,21,19,2024/5/30
PROD005189,智能手表,投影设备,86.66,46,23,4,24,23,2024/5/26
PROD005190,电视,电脑办公,162.01,51,35,4.6,27,18,2024/5/31
PROD005191,固态硬盘,外设产品,73.31,57,35,4.4,16,13,2024/6/5
PROD005192,路由器,电脑办公,202.8,56,31,3.9,17,10,2024/6/8
PROD005193,电视,存储设备,53.05,46,28,4.4,28,16,2024/6/2
PROD005194,智能手表,外设产品,143.34,40,35,3.7,18,18,2024/5/31
PROD005195,投影仪,数码配件,100.18,57,22,4,13,15,2024/6/3
PROD005196,显示器,手机通讯,130.03,48,27,4.2,15,11,2024/6/7
PROD005197,固态硬盘,智能家居,311.06,37,34,4.3,20,7,2024/6/11
PROD005198,内存条,智能家居,105.42,49,33,4.6,24,3,2024/6/15
PROD005199,数码相机,数码配件,195.06,60,37,4.2,18,11,2024/6/7
PROD005200,打印机,家用电器,167.34,54,23,4.3,26,9,2024/6/9
PROD005201,充电宝,数码配件,50,41,30,3.8,19,5,2024/6/13
PROD005202,电视,智能家居,75.43,55,39,5,17,3,2024/6/15
PROD005203,投影仪,手机通讯,359.58,41,22,4.3,16,3,2024/6/15
PROD005204,路由器,投影设备,108.24,50,38,4,21,9,2024/6/9
PROD005205,数据线,家用电器,180.89,52,26,3.9,18,25,2024/5/24
PROD005206,蓝牙音箱,智能家居,145.25,63,37,4,17,10,2024/6/8
PROD005207,数码相机,投影设备,238.06,51,39,4.4,24,30,2024/5/19
PROD005208,智能手机,外设产品,332.05,49,25,3.7,21,9,2024/6/9
PROD005209,固态硬盘,智能家居,117.48,52,30,3.9,17,20,2024/5/29
PROD005210,投影仪,投影设备,109.37,55,41,4.1,24,8,2024/6/10
PROD005211,鼠标,投影设备,89.18,43,30,3.9,23,17,2024/6/1
PROD005212,笔记本电脑,电脑办公,316.16,55,28,4.3,23,4,2024/6/14
PROD005213,数据线,数码配件,121.62,59,39,4.8,28,24,2024/5/25
PROD005214,数码相机,手机通讯,312.37,48,25,4,18,19,2024/5/30
PROD005215,蓝牙音箱,影音娱乐,168.78,51,25,3.8,17,7,2024/6/11
PROD005216,投影仪,智能家居,244.03,52,33,4.2,22,24,2024/5/25
PROD005217,充电宝,外设产品,89.5,54,38,4.3,32,13,2024/6/5
PROD005218,内存条,家用电器,66.16,52,31,4.2,28,26,2024/5/23
PROD005219,投影仪,数码配件,108.79,48,30,4.5,23,2,2024/6/16
PROD005220,机械键盘,投影设备,178.47,42,33,4.7,16,23,2024/5/26
PROD005221,智能手表,存储设备,170.12,53,41,4.4,20,4,2024/6/14
PROD005222,蓝牙音箱,数码配件,127.61,50,31,4.2,24,14,2024/6/4
PROD005223,鼠标,电源配件,190.45,49,31,5,22,10,2024/6/8
PROD005224,显示器,影音娱乐,154.58,54,36,3.8,18,25,2024/5/24
PROD005225,鼠标,投影设备,141.22,56,38,3.7,13,10,2024/6/8
PROD005226,平板电脑,外设产品,213.67,57,28,4.7,19,5,2024/6/13
PROD005227,数据线,家用电器,203.87,47,33,4.4,18,16,2024/6/2
PROD005228,平板电脑,外设产品,240.64,41,18,4.4,16,18,2024/5/31
PROD005229,平板电脑,家用电器,108.98,59,32,3.9,16,27,2024/5/22
PROD005230,内存条,外设产品,213.68,42,28,5,13,11,2024/6/7
PROD005231,数据线,电脑办公,257.97,49,34,4.1,30,24,2024/5/25
PROD005232,路由器,电源配件,104.98,46,29,4.8,19,26,2024/5/23
PROD005233,电视,数码配件,235.25,46,28,3.8,21,27,2024/5/22
PROD005234,数码相机,存储设备,99.02,46,24,4.1,22,15,2024/6/3
PROD005235,内存条,电脑办公,222.32,51,29,3.3,21,26,2024/5/23
PROD005236,智能手表,投影设备,218.36,44,34,3.5,20,15,2024/6/3
PROD005237,智能手表,外设产品,76.07,43,40,5,24,12,2024/6/6
PROD005238,无线耳机,数码配件,129.27,60,20,3.7,23,8,2024/6/10
PROD005239,无线耳机,存储设备,62.92,45,43,5,18,26,2024/5/23
PROD005240,耳机,存储设备,143.58,43,33,4.6,20,11,2024/6/7
PROD005241,智能手表,电源配件,184.04,50,27,4.3,11,10,2024/6/8
PROD005242,无线耳机,存储设备,206.6,49,34,4.1,14,2,2024/6/16
PROD005243,耳机,电脑办公,95.7,51,28,4.5,20,1,2024/6/17
PROD005244,电视,外设产品,249.08,63,24,3.8,20,9,2024/6/9
PROD005245,电视,外设产品,449.95,44,36,4,22,18,2024/5/31
PROD005246,智能手表,数码配件,115.86,57,28,4.3,17,20,2024/5/29
PROD005247,显示器,电源配件,299.73,41,30,3,23,18,2024/5/31
PROD005248,充电器,存储设备,129.96,42,23,4.1,18,20,2024/5/29
PROD005249,固态硬盘,家用电器,344.11,33,36,3.8,29,4,2024/6/14
PROD005250,投影仪,存储设备,325.09,35,29,4.5,17,29,2024/5/20
PROD005251,平板电脑,电脑办公,131.31,40,23,4.7,23,21,2024/5/28
PROD005252,机械键盘,电源配件,127.24,57,26,3.8,21,27,2024/5/22
PROD005253,机械键盘,存储设备,168.97,42,23,4.2,22,19,2024/5/30
PROD005254,数据线,外设产品,131.12,40,20,4.7,26,25,2024/5/24
PROD005255,平板电脑,智能家居,229.32,51,28,4.2,16,25,2024/5/24
PROD005256,充电器,家用电器,162.14,47,25,3.9,13,6,2024/6/12
PROD005257,数码相机,投影设备,88.67,54,29,4.3,17,5,2024/6/13
PROD005258,充电宝,存储设备,91.82,41,21,4.7,17,9,2024/6/9
PROD005259,笔记本电脑,电脑办公,109.16,61,30,4.6,15,14,2024/6/4
PROD005260,耳机,智能家居,215.29,49,25,3.9,23,4,2024/6/14
PROD005261,内存条,数码配件,140.79,41,23,5,21,13,2024/6/5
PROD005262,无线耳机,影音娱乐,101.54,46,25,5,14,26,2024/5/23
PROD005263,数据线,存储设备,324.51,57,29,3.9,21,18,2024/5/31
PROD005264,固态硬盘,外设产品,220.7,55,33,4.5,16,4,2024/6/14
PROD005265,打印机,外设产品,151.91,39,27,4.5,16,3,2024/6/15
PROD005266,固态硬盘,电脑办公,83.49,51,29,4,19,14,2024/6/4
PROD005267,路由器,存储设备,109.85,41,30,4.1,28,9,2024/6/9
PROD005268,充电宝,数码配件,55.63,51,25,4.1,22,6,2024/6/12
PROD005269,数据线,电脑办公,168.58,63,29,4,13,6,2024/6/12
PROD005270,电视,数码配件,119.8,43,25,4.3,18,7,2024/6/11
PROD005271,数据线,电源配件,188.17,47,28,4,18,15,2024/6/3
PROD005272,投影仪,电源配件,440.87,42,20,3.1,16,12,2024/6/6
PROD005273,电视,影音娱乐,119.84,59,25,4,19,15,2024/6/3
PROD005274,数据线,电脑办公,120.45,52,29,3.3,18,6,2024/6/12
PROD005275,路由器,数码配件,200.32,61,27,3.8,24,16,2024/6/2
PROD005276,充电宝,电源配件,108.71,39,31,4.3,24,11,2024/6/7
PROD005277,内存条,手机通讯,76.64,52,38,4.4,17,18,2024/5/31
PROD005278,内存条,电源配件,70.96,57,42,4.9,18,3,2024/6/15
PROD005279,电视,手机通讯,95.44,52,31,4.6,31,8,2024/6/10
PROD005280,机械键盘,家用电器,125.02,41,36,4.9,15,19,2024/5/30
PROD005281,路由器,智能家居,165.9,40,35,3.6,21,19,2024/5/30
PROD005282,内存条,数码配件,261.77,51,20,3.9,20,10,2024/6/8
PROD005283,鼠标,电脑办公,148.93,49,30,4.3,24,20,2024/5/29
PROD005284,耳机,存储设备,163.79,51,28,4.1,24,27,2024/5/22
PROD005285,投影仪,电脑办公,240.51,66,28,3.9,13,7,2024/6/11
PROD005286,平板电脑,外设产品,199.3,59,27,4.6,16,10,2024/6/8
PROD005287,充电器,数码配件,130.78,51,27,4.4,19,8,2024/6/10
PROD005288,机械键盘,智能家居,284.16,55,30,3.5,21,2,2024/6/16
PROD005289,充电器,投影设备,88.68,44,27,3.7,14,11,2024/6/7
PROD005290,电视,外设产品,124.61,41,44,3.6,25,22,2024/5/27
PROD005291,鼠标,手机通讯,201.39,43,31,4.2,19,20,2024/5/29
PROD005292,无线耳机,影音娱乐,285.14,48,36,3.2,16,16,2024/6/2
PROD005293,充电宝,智能家居,147.45,49,28,4.4,23,7,2024/6/11
PROD005294,打印机,电源配件,77.81,50,25,4.3,15,10,2024/6/8
PROD005295,平板电脑,影音娱乐,253.35,52,30,3.5,23,6,2024/6/12
PROD005296,笔记本电脑,手机通讯,164.39,40,19,4,21,15,2024/6/3
PROD005297,投影仪,影音娱乐,109.45,46,26,4,19,14,2024/6/4
PROD005298,智能手表,投影设备,151.82,67,30,4.6,17,1,2024/6/17
PROD005299,智能手表,存储设备,139.68,47,23,4.6,15,19,2024/5/30
PROD005300,内存条,家用电器,146.26,46,29,3.7,35,1,2024/6/17
PROD005301,无线耳机,手机通讯,104.84,44,38,4.6,15,11,2024/6/7
PROD005302,智能手表,投影设备,115.72,55,29,4.4,26,26,2024/5/23
PROD005303,打印机,投影设备,239.92,51,27,4.4,18,6,2024/6/12
PROD005304,显示器,手机通讯,101,56,27,4.4,18,2,2024/6/16
PROD005305,数据线,家用电器,218.25,54,37,3.9,19,9,2024/6/9
PROD005306,电视,存储设备,127.75,60,26,4,16,3,2024/6/15
PROD005307,固态硬盘,家用电器,107.35,51,30,4.2,22,17,2024/6/1
PROD005308,路由器,存储设备,122.19,47,28,4.8,21,26,2024/5/23
PROD005309,充电宝,存储设备,130.48,52,25,4.6,28,17,2024/6/1
PROD005310,蓝牙音箱,家用电器,101.94,54,30,4.2,27,14,2024/6/4
PROD005311,智能手机,智能家居,119.38,51,34,4.1,23,2,2024/6/16
PROD005312,平板电脑,外设产品,195.69,49,31,4.6,24,23,2024/5/26
PROD005313,打印机,手机通讯,153.68,44,26,4.3,22,20,2024/5/29
PROD005314,无线耳机,影音娱乐,103.05,45,33,3.4,18,27,2024/5/22
PROD005315,平板电脑,影音娱乐,73.76,46,29,3.2,20,12,2024/6/6
PROD005316,数据线,电脑办公,192.76,46,29,3.7,21,1,2024/6/17
PROD005317,充电宝,数码配件,132.27,54,23,4.4,13,2,2024/6/16
PROD005318,平板电脑,数码配件,148.11,49,33,4.3,18,28,2024/5/21
PROD005319,无线耳机,手机通讯,316.41,50,28,4.4,12,8,2024/6/10
PROD005320,机械键盘,数码配件,166.62,48,34,3.8,22,5,2024/6/13
PROD005321,智能手机,数码配件,116.1,54,30,4.3,25,26,2024/5/23
PROD005322,投影仪,智能家居,158.73,47,35,4.3,15,3,2024/6/15
PROD005323,平板电脑,存储设备,112.43,38,25,4,27,22,2024/5/27
PROD005324,电视,存储设备,244.41,48,26,4.6,21,22,2024/5/27
PROD005325,显示器,投影设备,188.03,64,23,4.9,11,9,2024/6/9
PROD005326,机械键盘,外设产品,122.2,45,31,4.2,27,7,2024/6/11
PROD005327,蓝牙音箱,手机通讯,214.6,52,29,5,16,3,2024/6/15
PROD005328,智能手机,外设产品,171.18,45,27,4.6,17,2,2024/6/16
PROD005329,电视,数码配件,167.81,58,29,3.5,20,2,2024/6/16
PROD005330,路由器,存储设备,144.32,55,43,4.1,23,29,2024/5/20
PROD005331,无线耳机,存储设备,155.04,44,26,4.2,30,27,2024/5/22
PROD005332,打印机,电脑办公,197.18,64,42,4.5,22,17,2024/6/1
PROD005333,鼠标,电源配件,100.03,46,27,4.1,22,16,2024/6/2
PROD005334,电视,投影设备,299.85,48,30,4.7,22,18,2024/5/31
PROD005335,笔记本电脑,存储设备,136.49,47,35,3.7,15,4,2024/6/14
PROD005336,数码相机,外设产品,119.39,54,21,4.7,23,6,2024/6/12
PROD005337,智能手机,影音娱乐,109.86,55,27,5,21,12,2024/6/6
PROD005338,笔记本电脑,电源配件,121.53,53,23,4.6,16,19,2024/5/30
PROD005339,固态硬盘,手机通讯,216.08,50,25,4.3,13,27,2024/5/22
PROD005340,蓝牙音箱,电源配件,146.53,45,33,3.6,20,13,2024/6/5
PROD005341,耳机,电脑办公,124.69,42,22,5,20,15,2024/6/3
PROD005342,智能手机,存储设备,201.63,57,28,4.6,28,17,2024/6/1
PROD005343,数码相机,电脑办公,133.51,34,29,4.7,24,12,2024/6/6
PROD005344,鼠标,投影设备,125.6,45,41,3.6,20,2,2024/6/16
PROD005345,蓝牙音箱,手机通讯,84.93,42,33,3.9,23,14,2024/6/4
PROD005346,平板电脑,数码配件,105.12,50,33,4.8,17,1,2024/6/17
PROD005347,显示器,投影设备,128.56,50,33,4.3,22,5,2024/6/13
PROD005348,平板电脑,家用电器,87.89,52,37,4.3,21,8,2024/6/10
PROD005349,耳机,数码配件,305.36,64,34,4.4,19,27,2024/5/22
PROD005350,平板电脑,外设产品,190.23,60,34,3.8,21,25,2024/5/24
PROD005351,耳机,智能家居,130.47,60,34,4.1,23,23,2024/5/26
PROD005352,智能手表,外设产品,223.1,45,28,3.9,15,19,2024/5/30
PROD005353,投影仪,电脑办公,120.76,50,44,4.6,30,5,2024/6/13
PROD005354,数据线,智能家居,458.26,55,33,5,17,11,2024/6/7
PROD005355,路由器,电脑办公,253.77,55,33,3.8,13,6,2024/6/12
PROD005356,笔记本电脑,影音娱乐,234.22,34,30,5,16,3,2024/6/15
PROD005357,蓝牙音箱,投影设备,218.18,51,30,3.9,21,30,2024/5/19
PROD005358,机械键盘,数码配件,67.81,62,28,4.4,21,10,2024/6/8
PROD005359,无线耳机,电脑办公,136.78,49,36,4.1,17,2,2024/6/16
PROD005360,充电器,电脑办公,62.54,54,26,4.4,14,10,2024/6/8
PROD005361,鼠标,电源配件,185.54,46,34,3.5,22,15,2024/6/3
PROD005362,充电器,手机通讯,155.61,40,26,4.7,26,24,2024/5/25
PROD005363,智能手表,数码配件,289.48,46,23,5,17,8,2024/6/10
PROD005364,蓝牙音箱,家用电器,234,49,32,3.9,17,11,2024/6/7
PROD005365,充电器,电源配件,97.81,50,23,4.7,18,25,2024/5/24
PROD005366,充电器,电源配件,57.03,50,28,4.4,17,8,2024/6/10
PROD005367,固态硬盘,电源配件,122.62,54,30,4.1,27,26,2024/5/23
PROD005368,机械键盘,存储设备,95.72,52,30,3.4,21,11,2024/6/7
PROD005369,智能手机,投影设备,134.1,40,39,3.9,21,24,2024/5/25
PROD005370,固态硬盘,智能家居,106.23,56,28,4.3,24,2,2024/6/16
PROD005371,投影仪,数码配件,232.53,60,45,3.9,24,8,2024/6/10
PROD005372,投影仪,数码配件,252.65,52,30,4.8,19,8,2024/6/10
PROD005373,显示器,电脑办公,99.53,53,31,4.1,18,15,2024/6/3
PROD005374,充电器,电源配件,563.1,46,28,3.2,27,27,2024/5/22
PROD005375,路由器,影音娱乐,128.38,50,35,3.8,18,25,2024/5/24
PROD005376,智能手机,电脑办公,98.91,46,28,4.6,18,30,2024/5/19
PROD005377,充电器,数码配件,295.55,40,28,4.4,21,7,2024/6/11
PROD005378,路由器,电脑办公,303.76,56,20,5,20,5,2024/6/13
PROD005379,显示器,数码配件,156.68,46,37,4.1,16,18,2024/5/31
PROD005380,平板电脑,电脑办公,257.67,38,44,4,23,19,2024/5/30
PROD005381,无线耳机,外设产品,109.3,36,28,4.9,13,22,2024/5/27
PROD005382,耳机,家用电器,119.07,49,32,3.8,27,12,2024/6/6
PROD005383,无线耳机,影音娱乐,182.37,50,39,3.7,21,18,2024/5/31
PROD005384,智能手机,外设产品,148.11,50,27,3.6,13,4,2024/6/14
PROD005385,投影仪,投影设备,99.85,51,35,5,19,2,2024/6/16
PROD005386,数据线,智能家居,162.88,48,19,3.5,21,16,2024/6/2
PROD005387,无线耳机,投影设备,154.63,50,28,4,18,4,2024/6/14
PROD005388,平板电脑,数码配件,135.11,49,28,3.9,21,27,2024/5/22
PROD005389,路由器,电源配件,219.26,42,26,4,18,28,2024/5/21
PROD005390,充电宝,智能家居,331.1,46,31,3.8,12,23,2024/5/26
PROD005391,蓝牙音箱,数码配件,89.04,47,21,4.5,18,11,2024/6/7
PROD005392,显示器,投影设备,231.24,38,28,4.3,19,12,2024/6/6
PROD005393,打印机,家用电器,475.07,49,33,4.6,16,17,2024/6/1
PROD005394,机械键盘,电脑办公,63.3,64,29,3.8,24,25,2024/5/24
PROD005395,内存条,数码配件,217.13,51,34,4.6,12,8,2024/6/10
PROD005396,笔记本电脑,电脑办公,180.5,54,34,4.9,11,9,2024/6/9
PROD005397,耳机,手机通讯,140.54,51,42,2.9,22,26,2024/5/23
PROD005398,电视,数码配件,87.35,51,39,4,27,12,2024/6/6
PROD005399,耳机,投影设备,192.43,53,28,4.5,20,2,2024/6/16
PROD005400,无线耳机,数码配件,222.13,48,28,3.7,15,16,2024/6/2
PROD005401,智能手表,手机通讯,132.75,52,28,4.2,24,15,2024/6/3
PROD005402,智能手表,电源配件,151.08,46,33,4.2,20,1,2024/6/17
PROD005403,耳机,数码配件,54.81,57,28,4,18,28,2024/5/21
PROD005404,智能手机,外设产品,196.26,42,25,4.4,21,18,2024/5/31
PROD005405,平板电脑,手机通讯,96.91,40,30,4.4,19,28,2024/5/21
PROD005406,平板电脑,电源配件,135.17,38,25,3.8,19,22,2024/5/27
PROD005407,耳机,手机通讯,93.71,60,27,4,16,22,2024/5/27
PROD005408,内存条,电源配件,116.11,47,31,4.1,14,28,2024/5/21
PROD005409,固态硬盘,手机通讯,218.38,41,35,4.4,24,2,2024/6/16
PROD005410,显示器,影音娱乐,79.43,60,26,4,18,17,2024/6/1
PROD005411,数码相机,存储设备,139.65,52,38,4.1,23,15,2024/6/3
PROD005412,数码相机,手机通讯,117.41,63,44,3.9,20,21,2024/5/28
PROD005413,耳机,影音娱乐,278.86,62,22,4.2,21,5,2024/6/13
PROD005414,智能手机,数码配件,138.39,52,27,3.8,23,1,2024/6/17
PROD005415,数据线,手机通讯,80.17,54,26,4,18,18,2024/5/31
PROD005416,电视,数码配件,150.22,55,23,4.2,26,24,2024/5/25
PROD005417,打印机,投影设备,71.58,37,33,4.6,20,25,2024/5/24
PROD005418,鼠标,手机通讯,199.86,62,32,4.4,18,4,2024/6/14
PROD005419,路由器,电源配件,61.76,52,34,3.4,13,23,2024/5/26
PROD005420,平板电脑,智能家居,154.51,46,34,4,16,4,2024/6/14
PROD005421,机械键盘,智能家居,218,55,43,3.4,25,6,2024/6/12
PROD005422,鼠标,手机通讯,106.27,49,25,3.6,17,3,2024/6/15
PROD005423,显示器,数码配件,319.89,49,37,3.9,20,30,2024/5/19
PROD005424,充电宝,电脑办公,151.53,51,23,4.4,25,5,2024/6/13
PROD005425,内存条,数码配件,61.33,47,38,2.9,14,19,2024/5/30
PROD005426,鼠标,电脑办公,109.8,51,31,3.8,16,28,2024/5/21
PROD005427,平板电脑,存储设备,281.37,41,40,5,20,23,2024/5/26
PROD005428,充电宝,电源配件,158.11,61,30,3.6,18,22,2024/5/27
PROD005429,笔记本电脑,家用电器,50,55,21,3.9,20,28,2024/5/21
PROD005430,内存条,手机通讯,258.51,65,22,4.4,17,13,2024/6/5
PROD005431,智能手机,数码配件,142.96,55,29,4.7,20,20,2024/5/29
PROD005432,笔记本电脑,电脑办公,167.29,60,27,4.1,18,2,2024/6/16
PROD005433,电视,投影设备,88.53,40,38,4.4,26,11,2024/6/7
PROD005434,笔记本电脑,手机通讯,130.4,39,17,3.4,18,4,2024/6/14
PROD005435,打印机,手机通讯,113.9,36,32,4.7,23,23,2024/5/26
PROD005436,路由器,外设产品,162.37,54,28,4.3,13,30,2024/5/19
PROD005437,固态硬盘,投影设备,159.3,56,35,4.6,18,25,2024/5/24
PROD005438,充电器,电脑办公,273.8,58,35,4.2,23,2,2024/6/16
PROD005439,智能手机,家用电器,200.35,47,25,3.9,15,5,2024/6/13
PROD005440,数码相机,数码配件,194.56,44,30,3.9,18,20,2024/5/29
PROD005441,充电宝,家用电器,172.71,46,34,4.7,11,26,2024/5/23
PROD005442,内存条,电脑办公,158.04,43,28,4.4,22,27,2024/5/22
PROD005443,无线耳机,存储设备,312.27,50,20,4.2,19,7,2024/6/11
PROD005444,鼠标,投影设备,131.59,51,28,4.1,23,22,2024/5/27
PROD005445,显示器,电源配件,82.41,60,35,4.9,22,7,2024/6/11
PROD005446,显示器,电脑办公,63.24,58,22,3.6,17,6,2024/6/12
PROD005447,鼠标,手机通讯,84.95,68,27,3.9,10,27,2024/5/22
PROD005448,鼠标,投影设备,267.94,41,31,3.9,16,2,2024/6/16
PROD005449,内存条,投影设备,140.43,53,24,4.7,19,3,2024/6/15
PROD005450,电视,电脑办公,174.73,49,30,4.3,20,13,2024/6/5
PROD005451,无线耳机,外设产品,116.91,52,24,3.8,24,22,2024/5/27
PROD005452,固态硬盘,投影设备,152.81,42,28,4.7,19,21,2024/5/28
PROD005453,充电宝,数码配件,117.41,40,20,4.8,27,6,2024/6/12
PROD005454,耳机,电源配件,137.18,62,20,4,13,11,2024/6/7
PROD005455,平板电脑,电源配件,161.1,44,27,4.4,15,18,2024/5/31
PROD005456,蓝牙音箱,家用电器,163.16,50,26,4.8,17,13,2024/6/5
PROD005457,鼠标,电脑办公,73.68,44,28,4.8,15,7,2024/6/11
PROD005458,固态硬盘,外设产品,147.78,54,29,4.2,22,18,2024/5/31
PROD005459,机械键盘,电源配件,90.66,59,30,3.5,18,15,2024/6/3
PROD005460,电视,外设产品,84.48,56,27,4.7,11,23,2024/5/26
PROD005461,投影仪,投影设备,157.22,46,27,3.6,22,12,2024/6/6
PROD005462,显示器,存储设备,81.34,54,35,5,22,7,2024/6/11
PROD005463,智能手表,外设产品,81.02,52,26,4,21,23,2024/5/26
PROD005464,打印机,家用电器,97.74,48,40,4.5,15,5,2024/6/13
PROD005465,内存条,存储设备,83.82,53,49,4.5,16,18,2024/5/31
PROD005466,电视,智能家居,50,46,22,4.1,18,4,2024/6/14
PROD005467,数码相机,电脑办公,145.79,39,28,4,20,10,2024/6/8
PROD005468,蓝牙音箱,外设产品,173.22,53,24,4.6,25,20,2024/5/29
PROD005469,智能手表,影音娱乐,281.55,54,31,5,23,11,2024/6/7
PROD005470,电视,投影设备,138.82,64,33,4.1,24,2,2024/6/16
PROD005471,耳机,家用电器,126.51,60,34,4.3,23,18,2024/5/31
PROD005472,内存条,影音娱乐,170.7,53,34,4.8,10,10,2024/6/8
PROD005473,打印机,电源配件,233.96,58,26,3.4,12,16,2024/6/2
PROD005474,投影仪,外设产品,297.34,52,27,4.2,19,26,2024/5/23
PROD005475,数码相机,家用电器,170.34,49,42,4.2,26,23,2024/5/26
PROD005476,投影仪,影音娱乐,324.68,48,30,4.5,27,6,2024/6/12
PROD005477,智能手表,影音娱乐,298.65,53,27,4.6,31,13,2024/6/5
PROD005478,显示器,影音娱乐,109.46,51,26,4.4,17,9,2024/6/9
PROD005479,电视,存储设备,50,41,25,3.9,23,9,2024/6/9
PROD005480,充电宝,外设产品,88.49,46,30,4.8,17,11,2024/6/7
PROD005481,平板电脑,智能家居,115.45,47,30,5,20,8,2024/6/10
PROD005482,电视,数码配件,107.3,50,23,3.3,19,29,2024/5/20
PROD005483,平板电脑,影音娱乐,123.97,50,46,3.9,18,5,2024/6/13
PROD005484,智能手表,电源配件,86.98,41,33,4.4,28,29,2024/5/20
PROD005485,蓝牙音箱,家用电器,197.89,53,35,5,16,22,2024/5/27
PROD005486,数据线,外设产品,105.21,44,29,2.8,13,11,2024/6/7
PROD005487,充电宝,智能家居,134.64,50,40,4.1,19,6,2024/6/12
PROD005488,笔记本电脑,智能家居,139.62,50,32,4.7,18,29,2024/5/20
PROD005489,内存条,存储设备,179.93,57,27,4.7,30,18,2024/5/31
PROD005490,智能手机,数码配件,201.02,48,25,4.8,22,5,2024/6/13
PROD005491,打印机,投影设备,208.71,41,31,3.2,23,17,2024/6/1
PROD005492,平板电脑,智能家居,210.1,55,35,4.2,14,8,2024/6/10
PROD005493,蓝牙音箱,电源配件,389.65,44,34,3.6,30,17,2024/6/1
PROD005494,电视,家用电器,151.87,50,26,4,24,27,2024/5/22
PROD005495,平板电脑,电源配件,160.69,54,18,5,26,27,2024/5/22
PROD005496,路由器,智能家居,152.61,53,27,4.5,20,3,2024/6/15
PROD005497,耳机,存储设备,151.45,49,23,4.2,22,15,2024/6/3
PROD005498,固态硬盘,投影设备,135.32,59,28,3.7,30,25,2024/5/24
PROD005499,平板电脑,影音娱乐,104.07,49,26,3.7,17,19,2024/5/30
PROD005500,平板电脑,手机通讯,91.91,56,22,3.5,22,27,2024/5/22
PROD005501,数据线,电源配件,172.7,47,38,4.2,17,3,2024/6/15
PROD005502,鼠标,影音娱乐,81.55,45,25,4.6,19,6,2024/6/12
PROD005503,平板电脑,投影设备,120.7,48,30,4.3,18,1,2024/6/17
PROD005504,打印机,外设产品,240.1,52,36,3.9,27,30,2024/5/19
PROD005505,智能手表,数码配件,140.61,57,36,3.5,13,20,2024/5/29
PROD005506,内存条,存储设备,125.83,58,29,4,14,19,2024/5/30
PROD005507,机械键盘,投影设备,170.8,56,35,4.5,24,15,2024/6/3
PROD005508,固态硬盘,影音娱乐,229.35,51,41,3.4,24,7,2024/6/11
PROD005509,内存条,手机通讯,83,59,25,4.1,20,2,2024/6/16
PROD005510,充电宝,投影设备,154.81,61,26,4.2,22,21,2024/5/28
PROD005511,笔记本电脑,外设产品,57.45,37,25,4.1,15,15,2024/6/3
PROD005512,数码相机,投影设备,210.97,58,32,4.2,12,13,2024/6/5
PROD005513,固态硬盘,智能家居,137.05,51,26,4,21,9,2024/6/9
PROD005514,投影仪,外设产品,269.04,71,27,3.9,24,7,2024/6/11
PROD005515,充电器,手机通讯,264.94,54,35,4.1,21,9,2024/6/9
PROD005516,固态硬盘,电源配件,141.06,36,32,3.1,20,8,2024/6/10
PROD005517,数码相机,电源配件,100.68,43,28,3.9,18,30,2024/5/19
PROD005518,显示器,影音娱乐,160.6,49,26,5,25,24,2024/5/25
PROD005519,无线耳机,电源配件,162.84,42,23,3.6,24,17,2024/6/1
PROD005520,充电器,电源配件,134.62,46,34,4,16,13,2024/6/5
PROD005521,蓝牙音箱,家用电器,218.14,58,36,4.2,20,30,2024/5/19
PROD005522,显示器,电脑办公,325.71,58,29,4.1,18,11,2024/6/7
PROD005523,无线耳机,手机通讯,186.3,60,29,3.9,16,23,2024/5/26
PROD005524,平板电脑,电源配件,176.16,47,31,4,15,4,2024/6/14
PROD005525,平板电脑,智能家居,313.49,59,31,4.1,16,27,2024/5/22
PROD005526,投影仪,智能家居,192.56,50,33,3.7,25,19,2024/5/30
PROD005527,平板电脑,智能家居,156.17,58,35,4.1,21,3,2024/6/15
PROD005528,智能手表,手机通讯,131.73,39,29,3.9,24,2,2024/6/16
PROD005529,数码相机,电脑办公,74.97,52,21,3.4,15,8,2024/6/10
PROD005530,鼠标,家用电器,222.79,46,17,4.3,20,24,2024/5/25
PROD005531,打印机,智能家居,244.25,41,32,4,19,20,2024/5/29
PROD005532,打印机,投影设备,91.65,44,37,4,18,14,2024/6/4
PROD005533,打印机,家用电器,107.09,48,30,3.7,20,27,2024/5/22
PROD005534,蓝牙音箱,电源配件,64.87,51,25,3.6,16,9,2024/6/9
PROD005535,内存条,外设产品,119.86,41,27,4.8,27,9,2024/6/9
PROD005536,蓝牙音箱,电脑办公,222.15,53,19,4.1,22,11,2024/6/7
PROD005537,电视,家用电器,165.67,39,31,4.7,15,26,2024/5/23
PROD005538,充电宝,电脑办公,199.26,50,20,4.4,21,29,2024/5/20
PROD005539,无线耳机,家用电器,115.34,63,38,4.2,24,24,2024/5/25
PROD005540,智能手表,影音娱乐,106.37,43,36,4.7,20,7,2024/6/11
PROD005541,耳机,智能家居,220.91,46,37,4.3,21,22,2024/5/27
PROD005542,电视,电脑办公,131.55,54,25,4.5,20,23,2024/5/26
PROD005543,智能手机,电源配件,111.21,61,15,4.3,17,26,2024/5/23
